Processes	ID	User	Host	Database	Command	Time	Status	SQL query
Kill	2885	root	172.18.0.203:56102	mtm_wip_application_winforms	Sleep	386	---	---
Kill	2886	root	172.18.0.203:56103	mtm_wip_application_winforms	Sleep	387	---	---
Kill	2952	root	172.18.0.214:58540	mtm_wip_application_winforms	Sleep	12	---	---
Kill	2953	root	172.18.0.214:58544	mtm_wip_application_winforms	Sleep	7	---	---
Kill	2954	root	172.18.0.214:58545	mtm_wip_application_winforms	Sleep	37	---	---
Kill	2955	root	172.18.0.214:58546	mtm_wip_application_winforms	Sleep	26	---	---
Kill	2956	root	172.18.0.214:58547	mtm_wip_application_winforms	Sleep	2	---	---
Kill	2957	root	172.18.0.214:58548	mtm_wip_application_winforms	Sleep	17	---	---
Kill	2958	root	172.18.0.214:58549	mtm_wip_application_winforms	Sleep	32	---	---
Kill	2959	root	172.18.0.214:58550	mtm_wip_application_winforms	Sleep	27	---	---
Kill	2960	root	172.18.0.214:58551	mtm_wip_application_winforms	Sleep	42	---	---
Kill	2961	root	172.18.0.214:58552	mtm_wip_application_winforms	Sleep	47	---	---
Kill	2962	root	172.18.0.214:58553	mtm_wip_application_winforms	Sleep	22	---	---
Kill	2992	root	172.18.0.215:53407	mtm_wip_application_winforms	Sleep	39	---	---
Kill	2993	root	172.18.0.215:53408	mtm_wip_application_winforms	Sleep	32	---	---
Kill	3053	root	172.20.8.30:56205	mtm_wip_application_winforms	Sleep	946	---	---
Kill	3054	root	172.20.8.30:56206	mtm_wip_application_winforms	Sleep	951	---	---
Kill	3055	root	172.20.8.30:56207	mtm_wip_application_winforms	Sleep	936	---	---
Kill	3056	root	172.20.8.30:56208	mtm_wip_application_winforms	Sleep	970	---	---
Kill	3057	root	172.20.8.30:56209	mtm_wip_application_winforms	Sleep	961	---	---
Kill	3058	root	172.20.8.30:56210	mtm_wip_application_winforms	Sleep	967	---	---
Kill	3059	root	172.20.8.30:56211	mtm_wip_application_winforms	Sleep	972	---	---
Kill	3060	root	172.20.8.30:56212	mtm_wip_application_winforms	Sleep	940	---	---
Kill	3061	root	172.20.8.30:56213	mtm_wip_application_winforms	Sleep	977	---	---
